Age,Gender,Income,Loan_Amount,Credit_Score,Past_Defaults,Loan_Status
68,Female,26132,9857,520,0,0
19,Female,70497,36075,788,0,0
68,Male,106833,16591,484,1,0
24,Female,41577,30178,621,0,0
59,Male,23669,44350,817,0,0
36,Male,58458,1968,338,0,0
48,Female,52126,43177,485,1,1
69,Female,70666,41893,646,0,0
45,Male,55434,12605,420,0,0
41,Male,71794,48146,806,0,0
69,Male,45539,45379,382,0,0
63,Male,109652,38590,562,1,0
45,Male,41616,27031,324,1,1
23,Male,39644,9775,638,0,0
47,Male,89540,45210,713,0,0
63,Female,100076,15169,462,0,0
34,Male,67526,42190,698,0,0
53,Male,20936,42955,355,0,0
56,Female,108839,4117,398,0,0
78,Male,43764,20539,306,0,0
52,Male,44354,34884,409,1,1
66,Male,90582,24138,486,0,0
43,Female,89963,22725,629,0,0
74,Male,57258,28838,637,1,0
38,Male,85027,2084,598,0,0
33,Male,36547,1555,595,0,0
29,Female,25875,34052,817,1,0
53,Female,34576,37882,595,0,0
46,Female,104959,31773,836,0,0
71,Female,50660,45603,780,0,0
20,Female,53836,28547,430,0,0
41,Male,89805,15979,448,0,0
65,Male,20560,21476,417,1,1
41,Female,43108,40101,622,0,0
70,Female,41873,35757,612,1,0
34,Female,35756,40350,434,0,0
22,Male,73951,35180,387,0,0
18,Female,115660,41281,534,0,0
72,Female,84733,7265,447,0,0
46,Female,73751,37852,736,0,0
76,Male,40244,3042,695,0,0
52,Female,116583,21298,460,0,0
21,Female,72406,11393,435,0,0
71,Male,108623,34070,698,0,0
76,Female,109197,43665,531,0,0
56,Female,41276,30660,483,0,0
38,Male,75031,23902,470,0,0
36,Male,113080,44348,613,0,0
78,Male,83513,45448,368,0,0
50,Male,74443,22534,705,1,0
32,Female,106475,23277,429,0,0
54,Male,20302,42387,797,0,0
46,Female,116782,23504,741,1,0
64,Female,53451,35254,844,0,0
51,Male,104072,5230,484,0,0
23,Male,52728,16766,346,0,0
48,Female,26513,23697,836,1,0
43,Male,99018,23053,690,0,0
67,Male,93356,42992,338,1,1
70,Male,92345,1840,403,1,0
50,Female,54552,2432,503,0,0
66,Male,20174,34898,708,0,0
79,Male,30968,28372,402,0,0
71,Female,84176,13686,671,0,0
18,Male,102295,24350,310,0,0
57,Female,30383,44342,584,0,0
31,Male,89412,18906,514,0,0
33,Male,63649,41892,665,0,0
78,Female,79987,26395,348,0,0
71,Female,58031,18849,503,0,0
21,Female,44851,17268,812,0,0
18,Male,39987,43200,480,0,0
72,Female,95347,26456,395,1,0
31,Female,119840,23076,686,0,0
50,Female,21468,9760,476,0,0
33,Female,109099,9234,705,0,0
46,Female,116535,36845,524,1,0
64,Female,47294,11154,346,1,0
74,Male,71110,13269,531,0,0
21,Male,92949,10590,603,0,0
63,Female,47587,29038,585,0,0
21,Female,71824,37043,765,1,0
43,Female,22989,46576,783,0,0
19,Female,74829,39337,466,0,0
42,Female,48526,11683,691,1,0
26,Female,115577,14660,365,0,0
36,Male,117461,24170,528,0,0
44,Male,118528,25637,715,0,0
77,Male,27551,1767,752,0,0
23,Male,35912,12752,670,0,0
23,Male,53818,17915,644,0,0
68,Female,35872,38280,549,0,0
19,Male,82543,35041,668,0,0
20,Male,94085,39247,596,0,0
79,Male,34488,12928,652,0,0
68,Female,39403,31487,781,0,0
53,Male,87142,9950,493,0,0
69,Female,115279,16081,442,0,0
35,Male,96350,6041,777,0,0
52,Female,110565,42159,429,1,0
75,Male,43375,2132,366,0,0
61,Male,21908,6426,585,0,0
41,Male,87294,5561,354,0,0
68,Female,40801,8772,320,0,0
30,Male,92015,43204,558,1,1
45,Female,48294,37719,715,0,0
20,Male,108630,48835,706,0,0
19,Female,81369,20831,764,0,0
66,Male,114317,1710,777,0,0
19,Female,59878,38618,807,0,0
44,Male,119146,22902,815,0,0
28,Female,71495,49545,396,0,0
69,Female,109245,28650,459,0,0
23,Female,24334,30503,795,0,0
53,Female,115368,1437,309,0,0
55,Male,58989,45259,806,0,0
48,Male,35390,21630,475,1,1
78,Female,20156,6994,326,0,0
42,Female,81602,7957,807,0,0
20,Female,71322,23193,617,0,0
78,Female,63952,33632,649,0,0
65,Male,52542,16644,445,1,0
36,Female,72369,17790,522,0,0
50,Male,37046,16527,646,0,0
29,Female,27574,46774,607,1,0
77,Male,107799,28150,743,1,0
25,Male,80169,8908,626,1,0
21,Female,92782,49540,309,0,0
31,Female,88654,24269,634,0,0
61,Female,63290,36511,724,0,0
59,Male,110473,14998,520,0,0
48,Male,69049,10870,834,0,0
52,Female,33101,32643,430,0,0
26,Male,84034,22433,322,0,0
19,Female,119581,46853,638,0,0
66,Male,37169,42277,537,0,0
62,Female,50269,46269,357,0,0
74,Male,44938,29880,637,0,0
37,Female,96504,42352,735,0,0
48,Female,60226,13305,789,0,0
21,Male,75093,14866,701,0,0
62,Male,87470,27896,822,0,0
33,Female,119339,2227,804,0,0
36,Female,54595,30185,431,0,0
62,Male,23108,25103,532,0,0
55,Female,60525,42058,592,0,0
32,Male,51994,25934,717,1,0
67,Female,32897,9307,526,0,0
60,Male,74644,9319,779,0,0
79,Female,100568,33861,347,0,0
31,Male,71587,40891,844,0,0
43,Male,22422,49900,441,0,0
49,Male,75254,22817,713,0,0
63,Male,106903,9942,322,1,0
31,Male,36479,20014,513,0,0
40,Male,107223,1390,408,0,0
42,Female,64571,16837,653,0,0
73,Male,22131,19263,337,0,0
32,Male,20502,27480,321,0,0
37,Female,79832,4731,523,0,0
61,Female,109235,10550,682,0,0
75,Female,23250,12516,748,0,0
49,Male,90908,44190,422,0,0
23,Male,79222,28671,389,0,0
37,Female,61004,26206,337,0,0
25,Male,26584,33152,826,0,0
66,Male,78855,29970,781,0,0
24,Male,22843,13866,353,1,1
58,Male,60363,36389,754,1,0
38,Female,101166,12335,839,0,0
73,Female,40294,29010,526,0,0
25,Male,27397,20950,316,0,0
20,Male,50362,41385,647,0,0
63,Male,103636,31879,613,0,0
48,Male,35997,19607,625,0,0
61,Male,49427,3208,603,1,0
48,Female,55346,6274,555,0,0
36,Female,30302,24724,655,1,0
71,Male,62253,12102,304,0,0
71,Female,72080,43969,323,0,0
50,Female,99652,14661,605,1,0
51,Female,25170,3723,533,0,0
21,Male,56442,13013,724,0,0
73,Female,35587,23116,815,0,0
65,Male,69106,32807,501,0,0
43,Female,34824,22875,350,0,0
36,Male,39991,47640,447,0,0
46,Female,106404,13286,672,1,0
71,Male,78298,43842,487,0,0
78,Male,90707,5015,720,0,0
74,Female,106721,39625,636,0,0
47,Female,40489,14769,643,0,0
63,Male,54007,40370,788,0,0
36,Female,38035,49138,700,0,0
20,Female,114434,17380,522,0,0
63,Female,113383,24644,397,0,0
49,Female,79200,6857,764,0,0
34,Female,91766,24282,458,0,0
45,Female,39688,21513,483,1,1
56,Male,98563,24716,585,0,0
76,Female,102764,39216,427,1,0
76,Female,93905,20158,576,0,0
61,Male,55168,15352,459,0,0
79,Female,111408,35245,455,0,0
49,Female,55754,19180,597,1,0
34,Male,94572,47796,335,0,0
77,Female,68980,41130,405,0,0
71,Female,25883,46634,434,0,0
45,Male,49379,47331,693,0,0
37,Male,79697,1470,402,1,0
65,Female,117427,33804,413,0,0
20,Male,30712,20126,724,1,0
68,Female,86949,39040,830,0,0
75,Male,35087,44768,318,0,0
78,Female,89006,8778,801,1,0
55,Female,87513,25645,438,0,0
36,Female,41010,12075,836,0,0
61,Male,107554,27737,773,0,0
70,Male,52300,44698,653,0,0
21,Male,103385,34428,312,0,0
21,Male,45292,38309,493,0,0
47,Female,81761,3876,750,0,0
77,Male,119153,18568,602,0,0
38,Male,43629,27536,397,1,1
70,Female,36969,9580,708,0,0
52,Male,113759,11316,830,0,0
20,Female,82851,31879,514,0,0
27,Female,58315,40259,674,1,0
62,Male,119386,2368,394,0,0
68,Female,66958,40256,655,0,0
28,Male,68254,27314,581,0,0
48,Male,103685,1007,503,0,0
33,Female,65855,39419,341,0,0
67,Male,72907,47447,461,0,0
33,Female,116858,12028,812,0,0
67,Female,90883,8421,322,0,0
66,Male,56685,35405,336,0,0
52,Male,68150,27977,782,0,0
52,Male,22022,30881,333,0,0
34,Male,65026,20579,523,0,0
59,Male,43801,47944,626,0,0
66,Male,67489,48963,330,0,0
47,Male,35836,16735,844,0,0
51,Female,86062,46119,732,0,0
22,Male,45140,18182,443,0,0
29,Female,76334,48088,340,0,0
20,Male,60215,14434,379,1,0
66,Male,74234,7528,554,0,0
40,Male,63276,20590,836,0,0
53,Female,82037,17215,493,0,0
78,Male,34577,49681,317,0,0
65,Female,96095,19340,442,0,0
71,Male,41369,27764,641,1,0
51,Female,88499,10413,552,1,0
61,Female,59228,36700,518,0,0
69,Male,96196,47057,476,0,0
79,Male,20705,14375,524,0,0
58,Male,97300,40568,663,0,0
35,Female,46406,46845,330,0,0
27,Female,55229,36905,391,0,0
35,Male,31609,32273,695,1,0
29,Female,109721,6465,356,0,0
52,Female,55040,21589,845,0,0
75,Female,87738,3961,730,0,0
44,Male,56329,9827,790,1,0
70,Female,28248,30325,753,0,0
53,Female,91409,14926,569,0,0
48,Male,92337,33907,490,1,0
79,Male,54879,26336,365,0,0
34,Female,114399,8666,735,0,0
39,Female,57084,39986,418,0,0
57,Female,111262,26749,477,1,0
18,Male,90380,30155,349,0,0
20,Female,109209,27893,514,0,0
68,Female,96500,37551,804,0,0
79,Female,80319,20815,646,1,0
29,Male,55542,46541,708,0,0
53,Male,31103,11876,495,0,0
69,Male,69855,41395,370,0,0
73,Female,45063,47612,709,0,0
21,Male,64846,35799,555,0,0
18,Male,76516,48689,746,0,0
63,Female,38773,34887,743,1,0
60,Male,106114,3271,376,0,0
66,Male,98571,7244,591,0,0
38,Female,75244,11490,455,1,0
57,Female,29543,49166,503,0,0
38,Female,111352,6368,702,0,0
64,Male,54540,9764,343,0,0
52,Female,24481,2148,636,0,0
56,Female,27509,23124,585,0,0
42,Female,48964,48386,548,0,0
18,Male,59127,13369,813,0,0
40,Male,92753,39545,556,0,0
21,Female,74926,16727,430,0,0
38,Male,95934,40578,734,1,0
25,Female,96368,3606,564,1,0
50,Male,47758,20860,720,0,0
61,Male,117769,10064,492,0,0
40,Female,112817,21713,484,1,0
25,Female,107455,28304,804,0,0
58,Male,91046,17949,392,0,0
19,Female,119587,6990,430,0,0
64,Female,118280,36274,804,0,0
68,Female,83768,8721,700,1,0
26,Female,94681,29010,478,1,0
18,Male,100726,28136,784,0,0
42,Female,113453,16140,585,1,0
67,Female,90485,24876,674,0,0
28,Male,102151,47442,793,0,0
32,Female,24884,39449,691,1,0
74,Female,26302,44411,487,0,0
67,Female,31944,42886,725,1,0
23,Female,69920,15528,524,0,0
33,Male,38056,25569,498,0,0
46,Male,36209,15748,561,0,0
73,Male,108860,7230,467,1,0
53,Female,119417,21622,713,0,0
29,Female,84166,40313,319,0,0
21,Male,116898,10898,342,0,0
63,Female,40603,31176,526,0,0
46,Female,100506,3077,336,0,0
39,Male,57711,24484,544,0,0
76,Male,103593,38474,835,1,0
51,Female,85856,1384,833,0,0
25,Female,35588,48841,431,0,0
41,Female,71405,13138,533,0,0
38,Female,33521,24227,695,0,0
70,Male,23089,21029,417,1,1
62,Male,89454,25294,530,0,0
77,Female,38895,37337,330,1,1
67,Female,41386,4684,303,0,0
39,Male,25547,23652,358,1,1
40,Male,67268,27869,633,0,0
20,Female,66303,29097,683,0,0
52,Female,70059,16613,819,0,0
70,Female,68734,33294,360,1,1
20,Female,118303,14943,622,0,0
46,Male,75293,34384,787,0,0
20,Female,34032,48894,675,0,0
68,Male,86034,1396,789,0,0
53,Female,40050,28906,328,0,0
60,Female,100992,48080,459,0,0
37,Female,105926,37272,596,0,0
52,Female,74139,15238,577,0,0
52,Male,56596,20853,359,0,0
42,Female,49151,35818,824,0,0
45,Female,102069,14838,756,0,0
76,Female,44106,41210,530,0,0
45,Female,74067,37037,518,1,1
62,Female,106036,17626,353,0,0
37,Female,43731,2578,707,0,0
38,Male,24130,36430,715,0,0
42,Male,81801,15963,387,0,0
57,Male,62734,27680,640,0,0
73,Female,87697,40256,507,0,0
54,Male,33331,24101,374,0,0
26,Male,44066,39358,644,0,0
77,Female,72342,10662,729,0,0
75,Male,94430,17146,314,0,0
60,Female,25619,42023,796,0,0
57,Male,109976,16996,527,1,0
28,Male,31274,46601,616,0,0
78,Female,52873,16382,409,1,0
68,Male,116470,20719,337,0,0
23,Female,95475,15868,607,0,0
39,Male,88546,15283,420,0,0
54,Female,39468,3596,699,0,0
41,Female,81178,20235,675,0,0
28,Female,69827,21889,766,0,0
33,Male,31161,43248,788,0,0
22,Female,47341,11398,495,0,0
58,Male,48897,25675,555,0,0
30,Male,79062,27954,749,0,0
62,Male,27076,14939,447,0,0
40,Male,100374,48063,718,0,0
78,Male,42271,25438,459,0,0
75,Male,43516,13109,330,0,0
28,Male,50492,33095,783,0,0
63,Female,115425,48889,713,0,0
25,Male,118073,20524,343,0,0
58,Female,22156,21208,392,0,0
41,Male,111372,20201,712,0,0
45,Male,33790,27509,804,0,0
35,Male,78104,42535,791,1,0
51,Male,75136,48023,397,0,0
73,Male,45392,30955,652,0,0
74,Male,91510,42071,310,0,0
59,Male,30334,36892,748,0,0
34,Female,22493,30073,408,0,0
21,Male,83347,48529,450,1,1
63,Male,67924,24527,378,0,0
36,Female,66731,41062,379,1,1
43,Male,22562,49742,498,1,1
70,Male,64275,40948,419,0,0
43,Female,53696,34618,824,0,0
18,Male,34780,37222,374,0,0
18,Female,21803,30329,542,0,0
60,Female,65367,25270,665,0,0
30,Male,25316,27524,350,0,0
30,Male,113036,34063,366,0,0
71,Female,41403,10944,355,0,0
55,Female,23408,41134,545,1,1
36,Female,69065,3716,792,0,0
49,Male,103967,8828,652,0,0
71,Male,23187,36198,757,0,0
50,Male,61790,15162,842,0,0
33,Female,80424,44601,466,0,0
79,Female,35555,19038,407,0,0
45,Female,68418,22008,485,0,0
42,Female,37154,16691,478,0,0
55,Female,41565,31352,829,0,0
57,Male,67941,10582,565,0,0
19,Male,39335,37705,766,0,0
40,Male,95074,12399,792,0,0
47,Male,26150,40415,597,0,0
57,Female,92077,47309,790,0,0
75,Female,50955,33964,304,1,1
29,Male,89186,10477,451,1,0
29,Female,107513,49522,796,0,0
21,Female,51495,18776,314,0,0
56,Male,46676,32564,436,0,0
19,Male,110264,17063,735,1,0
77,Female,54804,29231,471,0,0
75,Female,42188,43971,423,0,0
51,Male,61920,18879,300,0,0
27,Male,33638,43650,476,0,0
25,Female,73350,19460,490,0,0
31,Male,65798,3464,421,0,0
38,Female,103160,49763,319,1,1
23,Male,54526,44209,374,0,0
64,Female,31957,17092,574,0,0
29,Male,38192,13128,474,0,0
76,Female,39546,9928,376,0,0
49,Female,23932,12763,668,0,0
48,Female,72526,32309,375,0,0
52,Male,55606,3996,488,0,0
46,Female,39540,19598,375,0,0
67,Male,70955,5017,685,0,0
45,Female,49037,14082,550,0,0
32,Female,43110,32063,507,1,1
68,Female,100222,20432,689,0,0
55,Male,47438,43635,835,1,0
43,Female,33588,17288,507,0,0
70,Female,66206,14808,458,0,0
48,Male,41634,17756,395,1,1
35,Male,102311,43011,529,1,1
53,Female,41408,23860,508,1,1
40,Female,93821,46817,491,1,1
76,Male,111348,43401,522,0,0
76,Female,37304,37522,690,0,0
32,Female,61932,40078,531,0,0
28,Male,65448,30970,341,0,0
23,Male,30692,32607,461,0,0
28,Male,67352,16873,562,0,0
68,Female,81899,37279,336,0,0
39,Male,74563,36271,488,0,0
40,Female,41490,33177,724,0,0
46,Female,92565,23106,618,1,0
62,Female,107258,9330,819,0,0
65,Male,35380,16944,404,1,1
26,Female,48023,29849,355,1,1
38,Male,111780,42783,792,0,0
73,Female,94486,14293,495,0,0
58,Male,54183,22396,703,1,0
59,Female,47422,20703,459,0,0
55,Male,72051,28037,815,0,0
22,Male,72868,37060,620,0,0
50,Male,94881,18494,786,0,0
74,Female,59654,9241,520,1,0
34,Male,108640,13548,619,0,0
29,Female,85446,47160,579,0,0
29,Male,109766,13693,623,0,0
40,Female,42504,9518,725,1,0
39,Female,101133,32068,726,0,0
42,Female,22839,22765,825,0,0
28,Male,98926,49230,535,0,0
75,Female,46219,12386,770,0,0
70,Female,81242,39010,655,0,0
68,Female,79224,28513,556,0,0
54,Female,109218,42560,680,0,0
74,Male,68463,21670,373,1,0
68,Male,99549,35506,725,0,0
73,Female,41706,42070,668,1,0
45,Male,112262,35150,672,1,0
39,Female,104289,3600,701,0,0
77,Female,37479,38907,422,1,1
58,Female,88632,41358,695,0,0
54,Male,35252,3436,320,0,0
66,Male,115330,27522,441,1,0
71,Female,112659,25758,685,0,0
24,Male,73094,28348,819,0,0
63,Female,93476,47037,513,0,0
38,Female,29592,41041,502,1,1
25,Female,35236,46778,472,0,0
27,Male,26968,35776,568,0,0
37,Male,86576,31014,635,0,0
37,Male,81319,33409,594,0,0
34,Male,82277,28580,740,1,0
77,Female,88831,1952,356,0,0
34,Female,38668,28231,426,0,0
22,Female,100634,49076,570,0,0
51,Male,59346,2402,798,0,0
76,Male,93878,28404,789,0,0
76,Female,29279,34802,689,0,0
49,Male,100923,16297,586,0,0
59,Female,60052,13940,759,0,0
22,Female,96339,42460,554,0,0
48,Female,72898,30230,389,0,0
51,Male,89485,1366,816,0,0
22,Male,22309,38356,419,1,1
78,Female,77827,9166,674,0,0
32,Female,101472,43538,678,0,0
18,Male,109652,48062,624,0,0
40,Female,42249,43839,445,0,0
73,Male,102616,44714,787,0,0
77,Male,48571,23853,631,0,0
19,Female,71735,14809,763,1,0
54,Male,75998,33501,426,1,1
76,Male,101048,48670,713,0,0
63,Male,109103,12352,839,0,0
44,Female,75087,6511,478,0,0
39,Female,111523,4579,363,0,0
20,Male,55948,46272,324,0,0
79,Male,28862,27909,399,0,0
75,Female,32847,6893,716,0,0
67,Male,36488,42625,819,0,0
35,Male,69817,11071,659,0,0
79,Female,85068,2821,355,0,0
55,Male,61377,48745,839,0,0
68,Male,79860,36051,748,1,0
47,Female,53780,7794,849,0,0
56,Female,66841,19841,618,0,0
30,Female,47872,13273,787,0,0
57,Female,102209,19431,755,0,0
21,Male,111662,19445,572,0,0
30,Female,105262,17573,387,0,0
59,Male,83935,40142,490,0,0
72,Female,70375,12371,496,0,0
67,Male,31780,38291,500,0,0
55,Male,58724,7776,336,0,0
57,Male,109204,6783,675,0,0
79,Male,48693,30270,716,0,0
78,Female,114255,7636,321,0,0
26,Female,117969,24878,636,0,0
65,Male,78552,22071,305,0,0
39,Female,105041,10316,776,0,0
24,Female,57413,27118,848,0,0
20,Male,81388,46409,332,0,0
29,Male,84374,47516,338,0,0
24,Female,33421,34304,486,0,0
79,Male,27929,21756,306,0,0
43,Female,61985,23842,677,1,0
60,Male,101492,1215,617,0,0
53,Male,79240,13785,334,0,0
63,Female,110973,11810,559,0,0
23,Female,60335,24380,538,0,0
77,Male,69604,2128,544,0,0
71,Male,111198,22872,686,1,0
52,Female,55260,36224,570,0,0
30,Male,64063,32194,849,0,0
45,Female,50418,38315,341,0,0
21,Male,95716,18974,543,0,0
25,Female,53444,10757,668,0,0
77,Female,66790,46502,371,0,0
36,Male,97381,28279,796,0,0
20,Male,35995,22551,390,0,0
79,Male,76128,1011,605,1,0
53,Female,29565,3043,383,0,0
41,Female,50849,35730,580,0,0
41,Female,67506,25984,796,0,0
58,Female,49493,47551,620,0,0
59,Female,34633,14917,763,0,0
22,Female,51906,6552,715,0,0
70,Male,87902,35903,316,0,0
34,Male,116670,7334,816,0,0
67,Male,106046,3843,496,0,0
60,Female,102222,7473,803,0,0
49,Male,43356,34593,649,0,0
25,Male,71525,43872,398,0,0
62,Female,40397,39386,584,0,0
69,Male,110608,25107,775,0,0
31,Male,100196,22675,334,0,0
74,Female,82364,35303,357,0,0
75,Male,65145,12808,676,1,0
75,Male,90000,35557,468,0,0
73,Female,54810,37855,510,0,0
41,Female,94644,19345,532,0,0
77,Male,56197,8749,809,0,0
44,Male,52290,30782,714,0,0
62,Male,98568,22577,842,0,0
21,Female,37122,44927,629,0,0
45,Male,83124,43376,530,0,0
48,Female,100639,46229,334,0,0
69,Male,54289,32853,383,1,1
51,Male,51499,17892,735,0,0
31,Female,44546,21912,581,0,0
73,Male,35626,49190,519,0,0
61,Female,44788,22524,396,0,0
69,Male,107799,30091,739,0,0
22,Female,118757,48290,707,0,0
45,Male,21567,45982,323,0,0
44,Male,93022,19693,748,0,0
57,Male,45910,19187,460,0,0
44,Male,32816,24521,659,0,0
43,Female,50135,19158,581,0,0
73,Female,39421,18840,723,0,0
70,Female,39842,6327,316,0,0
40,Female,95258,37430,536,1,0
74,Female,27503,31681,635,0,0
44,Female,107846,32129,491,0,0
54,Female,62249,41224,524,0,0
43,Male,29361,4558,489,0,0
47,Male,27562,14031,656,0,0
70,Male,56095,40198,591,0,0
20,Male,104826,41217,668,1,0
57,Female,80252,1750,569,0,0
63,Female,111401,37640,584,1,0
23,Female,38907,27448,804,0,0
72,Female,38786,35647,475,0,0
40,Male,85077,42431,554,1,1
58,Male,61899,44869,820,1,0
49,Male,90241,10569,638,0,0
39,Female,37167,35232,579,0,0
24,Male,103353,28950,384,0,0
46,Male,38902,36205,718,0,0
39,Male,21720,24079,438,0,0
23,Female,101730,5004,439,1,0
62,Male,116013,22976,743,0,0
71,Female,115660,17381,717,0,0
57,Male,79463,44143,701,0,0
58,Male,66600,19663,549,0,0
36,Male,65375,43454,568,1,1
61,Male,87168,36469,752,0,0
36,Female,24745,25887,434,1,1
69,Male,80573,16654,758,0,0
73,Female,83480,38062,363,0,0
48,Male,101817,35327,703,0,0
28,Male,66834,15233,621,0,0
19,Female,102352,1590,705,0,0
30,Female,61979,9831,827,1,0
76,Male,22735,22368,408,0,0
33,Male,114625,20144,734,0,0
62,Female,51641,35605,640,0,0
73,Male,34877,13562,462,1,0
56,Male,21230,2719,826,0,0
53,Female,85994,46829,478,0,0
62,Male,28649,26488,467,0,0
66,Male,77449,31963,708,0,0
73,Male,51143,47768,594,0,0
76,Female,37216,30013,352,0,0
39,Female,105388,3056,848,0,0
52,Female,60757,14685,561,0,0
39,Male,49165,18349,392,0,0
36,Male,58760,4516,808,0,0
66,Male,74896,3752,847,1,0
18,Female,102474,13393,611,0,0
43,Female,29270,44709,626,0,0
25,Female,65030,25019,316,1,0
40,Female,108709,30875,484,0,0
49,Female,86167,8340,686,0,0
46,Male,104009,26695,368,1,0
58,Female,80378,40674,370,1,1
45,Male,60537,49331,484,0,0
47,Female,60632,49398,714,0,0
26,Female,92316,16987,692,0,0
44,Female,112870,4174,537,0,0
32,Male,41720,10502,643,0,0
39,Female,45619,10356,823,0,0
74,Male,65723,44695,476,0,0
38,Female,90459,14331,842,0,0
49,Female,97612,43436,786,0,0
46,Female,91425,48252,547,0,0
42,Male,34112,28580,553,0,0
38,Male,111989,48370,733,0,0
37,Female,70419,18841,409,0,0
76,Male,101454,28205,415,0,0
34,Male,103015,25063,702,0,0
42,Male,73866,47057,634,0,0
61,Male,93507,12682,819,1,0
63,Male,42971,24216,658,0,0
20,Male,86226,12143,440,0,0
21,Male,42542,21392,744,0,0
48,Male,80776,41578,565,0,0
74,Female,48759,7062,450,0,0
26,Female,79848,14518,512,0,0
77,Female,42110,6196,805,0,0
30,Female,71591,10579,811,0,0
57,Female,28646,4338,309,0,0
66,Female,38040,38986,670,0,0
62,Female,43764,48415,678,0,0
49,Female,45763,39481,614,0,0
31,Female,58340,32200,400,0,0
34,Male,105055,7241,301,1,0
24,Female,118389,12375,502,0,0
61,Female,109904,37035,359,0,0
19,Female,56447,5822,313,0,0
23,Female,47590,31411,846,0,0
30,Male,81497,18870,581,0,0
20,Male,101857,23554,823,0,0
70,Male,44999,48719,373,0,0
32,Male,117979,21479,584,1,0
60,Male,49669,43493,437,0,0
71,Female,76725,27933,351,1,0
47,Male,88395,30128,757,1,0
26,Female,23551,46763,549,0,0
